"author","undated_poem_count"
"吴文若","1"
"吴兴神女","1"
"吴奕","1"
"吴益","1"
"吴英秀","1"
"吴圆","1"
"吴昭淑","1"
"五代外镇官","1"
"武昌妓","1"
"武后宫人","1"
"武翊黄","1"
"武曌","1"
"舞柘枝女","1"
"勿翁","1"
"悟清","1"
"婺州山中人","1"
"希叟","1"
"息夫牧","1"
"僖宗朝北省官","1"
"僖宗宫人","1"
"席元明","1"
"峡中白衣","1"
"夏宝松","1"
"夏鸿","1"
"夏侯楚","1"
"夏侯子云","1"
"夏倪","1"
"相里宗","1"
"香儿","1"
"湘驿女子","1"
"湘中女子","1"
"襄阳妓","1"
"襄阳旅殡举人","1"
"向瓒","1"
"萧楚材","1"
"萧德言","1"
"萧东父","1"
"萧铎","1"
"萧妃","1"
"萧回","1"
"萧建","1"
"萧结","1"
"萧静","1"
"萧钧","1"
"萧某","1"
"萧辟","1"
"萧微","1"
"萧项","1"
"萧意","1"
"萧沼","1"
"萧仲","1"
"萧仲芮","1"
"谢福娘","1"
"谢太虚","1"
"谢陶","1"
"谢直","1"
"谢仲宣","1"
"辛常伯","1"
"辛宏","1"
"辛学士","1"
"新罗僧","1"
"邢凤","1"
"邢群","1"
"邢象玉","1"
"杏俏","1"
"性空","1"
"熊大经","1"
"熊德修","1"
"熊节","1"
"熊可量","1"
"熊良翰","1"
"熊上达","1"
"熊曜","1"
"熊则轩","1"
"熊子默","1"
"休静","1"
"修雅","1"
"胥偃","1"
"徐□","1"
"徐安期","1"
"徐冲渊","1"
"徐钓者","1"
"徐都尉","1"
"徐干","1"
"徐观国","1"
"徐珩","1"
"徐皓","1"
"徐淮","1"
"徐架阁","1"
"徐介","1"
"徐介轩","1"
"徐矩","1"
"徐魁","1"
"徐理","1"
"徐霖","1"
"徐梦龙","1"
"徐仁嗣","1"
"徐融","1"
"徐瑞","1"
"徐伸","1"
"徐希仁","1"
"徐熙","1"
"徐玄之","1"
"徐俨夫","1"
"徐彦若","1"
"徐一初","1"
"徐逸","1"
"徐元鼎","1"
"徐元杰","1"
"徐真君","1"
"徐之才","1"
"徐至","1"
"许","1"
"许大","1"
"许古","1"
"许宏","1"
"许及之","1"
"许三畏","1"
"许天正","1"
"许晏","1"
"许尧佐","1"
"许瑶","1"
"许圉师","1"
"许远","1"
"宣宗宫人","1"
"玄宝","1"
"玄逵","1"
"选人","1"
"薛光谦","1"
"薛沆","1"
"薛几圣","1"
"薛开府","1"
"薛克构","1"
"薛蒙","1"
"薛琼","1"
"薛少殷","1"
"薛眘惑","1"
"薛燧","1"
"薛熊","1"
"薛瑶","1"
"薛耀","1"
"薛泳","1"
"薛媛","1"
"薛𦀒","1"
"哑女","1"
"烟萝子","1"
"严禅师","1"
"严公弼","1"
"严公贶","1"
"严郭","1"
"严嶷","1"
"严抑","1"
"严恽","1"
"严震","1"
"阎苍舒","1"
"阎敬爱","1"
"阎立本","1"
"颜令宾","1"
"颜师古","1"
"颜舒","1"
"颜允南","1"
"颜胄","1"
"阳城","1"
"杨伯","1"
"杨持","1"
"杨岛仙","1"
"杨道居","1"
"杨德麟","1"
"杨鼎夫","1"
"杨华","1"
"杨郇伯","1"
"杨绘","1"
"杨慧淑","1"
"杨景","1"
"杨敬述","1"
"杨敬述进","1"
"杨濬","1"
"杨鸾","1"
"杨明","1"
"杨溥","1"
"杨齐哲","1"
"杨齐悊","1"
"杨佥判","1"
"杨容华","1"
"杨少阳","1"
"杨适1","1"
"杨适2","1"
"杨守","1"
"杨舜举","1"
"杨损","1"
"杨太尉","1"
"杨廷玉","1"
"杨文郁","1"
"杨续","1"
"杨勋","1"
"杨邺","1"
"杨彝","1"
"杨禹珪","1"
"杨郁伯","1"
"杨元亨","1"
"杨员外","1"
"杨再可","1"
"杨昭俭","1"
"杨志坚","1"
"杨苎萝","1"
"杨子咸","1"
"姚嵘","1"
"姚述尧1","1"
"姚偓","1"
"姚孝宁","1"
"姚岩杰","1"
"姚镛","1"
"叶阊","1"
"叶李","1"
"叶隆礼","1"
"叶润","1"
"叶适","1"
"叶秀发","1"
"叶巽斋","1"
"叶元良","1"
"叶祖义","1"
"衣白山人","1"
"仪珏","1"
"义昭","1"
"易祓妻","1"
"逸民","1"
"逸人不顾","1"
"懿宗朝举子","1"
"阴真君","1"
"殷琮","1"
"殷穆","1"
"殷潜之","1"
"殷陶","1"
"殷益","1"
"𬤇禅师","1"
"尹洙","1"
"隐求","1"
"隐微","1"
"隐者","1"
"印粲","1"
"应","1"
"应次蘧","1"
"英才","1"
"郢展","1"
"庸仁杰","1"
"雍州率□□□","1"
"永安","1"
"咏槐","1"
"油蔚","1"
"游慈","1"
"游士藻","1"
"游文仲","1"
"游稚仙","1"
"游子西","1"
"幼卿","1"
"于德晦","1"
"于观文","1"
"于季友","1"
"于经野","1"
"余","1"
"余桂英","1"
"余延寿","1"
"鱼又玄","1"
"俞处","1"
"俞灏","1"
"俞克成","1"
"俞文豹","1"
"瑜禅师","1"
"虞刚简","1"
"虞搆","1"
"虞某","1"
"虞㠭","1"
"宇文翰","1"
"宇文元质","1"
"宇文正","1"
"庾传素","1"
"庾光先","1"
"玉英","1"
"玉真","1"
"郁回","1"
"郁山主","1"
"喻陟","1"
"遇臻","1"
"元□□","1"
"元晟","1"
"元础","1"
"元德昭","1"
"元昉","1"
"元和举子","1"
"元兢","1"
"元友让","1"
"圆禅师","1"
"袁求贤","1"
"袁恕己","1"
"袁正真","1"
"远公","1"
"苑䛆","1"
"越娘","1"
"越王贞","1"
"云端和尚","1"
"云容","1"
"则禅师","1"
"张□□","1"
"张翱","1"
"张保嗣","1"
"张抃","1"
"张才翁","1"
"张成可","1"
"张承福","1"
"张楚金","1"
"张倅","1"
"张顶","1"
"张杜","1"
"张方仲","1"
"张风子","1"
"张干","1"
"张阁","1"
"张公乂","1"
"张观","1"
"张何","1"
"张汯","1"
"张后胤","1"
"张怀","1"
"张怀庆","1"
"张浑","1"
"张景源","1"
"张敬徽","1"
"张敬斋","1"
"张敬之","1"
"张迥","1"
"张九宗","1"
"张浚","1"
"张魁","1"
"张立本女","1"
"张良璞","1"
"张琳","1"
"张陵","1"
"张鲁封","1"
"张潞","1"
"张蒙","1"
"张明中","1"
"张南容","1"
"张涅","1"
"张钦敬","1"
"张琼英","1"
"张仁宝","1"
"张仁溥","1"
"张任国","1"
"张绍","1"
"张生","1"
"张生1","1"
"张省躬","1"
"张师师","1"
"张时","1"
"张氏女","1"
"张氏琰","1"
"张拭","1"
"张守中","1"
"张枢密","1"
"张思济","1"
"张嗣初","1"
"张侹","1"
"张文彻","1"
"张文收","1"
"张咸","1"
"张祥","1"
"张休","1"
"张牙","1"
"张彦胜","1"
"张彦修〖1〗","1"
"张野人","1"
"张𫖮","1"
"张毅夫","1"
"张殷衡","1"
"张茔","1"
"张盈润","1"
"张瀛","1"
"张友仁","1"
"张瑜","1"
"张元正","1"
"张韫","1"
"张宰","1"
"张藻","1"
"张珍奴","1"
"张轸","1"
"张正一","1"
"张埴","1"
"张仲达","1"
"张仲谋","1"
"张仲殊","1"
"张仲宇","1"
"张子明","1"
"章导","1"
"章江书生","1"
"章碣","1"
"章丽贞","1"
"章耐轩","1"
"章嶰","1"
"章玄同","1"
"漳郡守","1"
"长安中鬼","1"
"长孙翱","1"
"长孙镒","1"
"长孙佐转妻","1"
"长屋","1"
"掌聿修","1"
"昭顺老人","1"
"赵□","1"
"赵昂","1"
"赵必","1"
"赵才卿","1"
"赵晟","1"
"赵崇霄","1"
"赵从橐","1"
"赵铎","1"
"赵防","1"
"赵灌园","1"
"赵节","1"
"赵葵","1"
"赵扩","1"
"赵良玉","1"
"赵林","1"
"赵龙图","1"
"赵孟谦","1"
"赵某","1"
"赵耆孙","1"
"赵淇","1"
"赵起","1"
"赵佥判","1"
"赵庆","1"
"赵癯斋","1"
"赵仁奖","1"
"赵汝钠","1"
"赵汝腾","1"
"赵汝迕","1"
"赵汝恂","1"
"赵汝愚","1"
"赵师","1"
"赵师严","1"
"赵时行","1"
"赵叔达","1"
"赵缩手","1"
"赵通判","1"
"赵武建","1"
"赵希","1"
"赵希□","1"
"赵希明","1"
"赵希汰","1"
"赵希囿","1"
"赵希��","1"
"赵湘","1"
"赵休","1"
"赵顼","1"
"赵虚舟","1"
"赵延寿","1"
"赵彦逾","1"
"赵与","1"
"赵元淑","1"
"赵宰","1"
"赵祯","1"
"赵中虚","1"
"赵仲御","1"
"赵自然","1"
"赵𤰳","1"
"贞元文士","1"
"珍娘","1"
"真德秀","1"
"真干","1"
"真元","1"
"真知柔","1"
"郑翱","1"
"郑賨","1"
"郑德玄","1"
"郑斗焕","1"
"郑昉","1"
"郑符","1"
"郑馥","1"
"郑刚中","1"
"郑冠卿","1"
"郑光业","1"
"郑轨","1"
"郑衮","1"
"郑合","1"
"郑据","1"
"郑楷","1"
"郑郎中","1"
"郑露","1"
"郑梦协","1"
"郑明","1"
"郑南金","1"
"郑仆射","1"
"郑清之","1"
"郑琼罗","1"
"郑仁轨","1"
"郑绍","1"
"郑师冉","1"
"郑师贞","1"
"郑适","1"
"郑蜀宾","1"
"郑述诚","1"
"郑庶","1"
"郑说","1"
"郑遂初","1"
"郑颋","1"
"郑文妻","1"
"郑闻","1"
"郑无党","1"
"郑详","1"
"郑雪岩","1"
"郑严","1"
"郑义真","1"
"郑奕","1"
"郑玉","1"
"郑元璹","1"
"郑云从","1"
"郑云娘","1"
"郑韫玉","1"
"郑在德","1"
"郑中丞","1"
"郑子玉","1"
"知业","1"
"直言","1"
"止禅师","1"
"志定","1"
"志端","1"
"志懃","1"
"志闲","1"
"智晖","1"
"智寂","1"
"智远","1"
"中寤","1"
"中宗朝优人","1"
"终南山翁","1"
"钟辐","1"
"钟过","1"
"钟辂","1"
"钟元章","1"
"冢中人","1"
"重机","1"
"重恽","1"
"周□","1"
"周存孺","1"
"周格非","1"
"周济川","1"
"周颉","1"
"周利用","1"
"周某","1"
"周起","1"
"周容","1"
"周容淑","1"
"周氏","1"
"周文谟","1"
"周庠","1"
"周延翰","1"
"周彦昭","1"
"周源","1"
"周愿","1"
"周岳秀","1"
"周仲美","1"
"周铢","1"
"周颛","1"
"朱褒","1"
"朱斌","1"
"朱敦复","1"
"朱华","1"
"朱晦","1"
"朱绛","1"
"朱景文","1"
"朱均","1"
"朱逵","1"
"朱琳","1"
"朱耆寿","1"
"朱使欣","1"
"朱松","1"
"朱孙","1"
"朱晞颜","1"
"朱勰","1"
"朱休","1"
"朱延","1"
"朱延龄","1"
"朱彦时","1"
"朱用之","1"
"朱元","1"
"朱藻","1"
"朱泽","1"
"朱仲晦","1"
"朱佐日","1"
"竹林亭长","1"
"庄布","1"
"卓世清","1"
"子泰","1"
"左匡政","1"
"座客","1"
